ticker,tags,,,,,,
AMZN,tech,,,,,,
BITI,bitcoin,,,,,,
BOAT,war go bad,,,,,,
CARZ,tariffs,,,,,,
CF,war go bad,,,,,,
CVX,war go bad,,,,,,
CXSE,war go bad,,,,,,
DBA,war go bad,,,,,,
DBB,"tech, war go bad",,,,,,
DBC,"us credability, war go bad",,,,,,
DBO,war go bad,,,,,,
DBP,us credability,,,,,,
DYNF,retreat,,,,,,
EEM,tariffs,,,,,,
EIS,regions,,,,,,
ELM,retreat,,,,,,
EPHE,"regions, retreat",,,,,,
EVMT,tech,,,,,,
EWS,"regions, ideology",,,,,,
EWW,"regions, retreat",,,,,,
F,tariffs,,,,,,
GDX,us credability,,,,,,
GOOG,tech,,,,,,
IAU,us credability,,,,,,
IBDU,retreat,,,,,,
IBHG,retreat,,,,,,
IBIT,bitcoin,,,,,,
ICE,ideology,,,,,,
ICOP,tech,,,,,,
IEMG,tariffs,,,,,,
IGV,tech,,,,,,
ILF,"regions, retreat",,,,,,
IWM,retreat,,,,,,
IYK,tariffs,,,,,,
KGRN,tech,,,,,,
KXI,tariffs,,,,,,
LAND,ideology,,,,,,
MCHI,war go bad,,,,,,
MOS,war go bad,,,,,,
MSFT,tech,,,,,,
NVDA,tech,,,,,,
PAVE,ideology,,,,,,
PICK,ideology,,,,,,
PLTR,war on horizon,,,,,,
PPA,war on horizon,,,,,,
PSCT,tech,,,,,,
QQQ,tech,,,,,,
RBLX,tech,,,,,,
RCTR,tech,,,,,,
REMX,"war on horizon, us credability",,,,,,
SDS,war go bad,,,,,,
SGOV,retreat,,,,,,
SH,war go bad,,,,,,
SILJ,us credability,,,,,,
SLV,us credability,,,,,,
SPY,retreat,,,,,,
SVIX,war go bad,,,,,,
SVXY,war go bad,,,,,,
TLT,retreat,,,,,,
TNK,war go bad,,,,,,
UAE,"ideology, regions",,,,,,
URA,"us credability, tech",,,,,,
USMV,retreat,,,,,,
USO,war go bad,,,,,,
VCLT,retreat,,,,,,
VDC,tariffs,,,,,,
VIXM,war go bad,,,,,,
VIXY,war go bad,,,,,,
VNM,regions,,,,,,
VTI,retreat,,,,,,
WAR,war on horizon,,,,,,
WTI,war go bad,,,,,,
XHB,ideology,,,,,,
XLE,war go bad,,,,,,
XLI,ideology,,,,,,
XLY,tariffs,,,,,,
XME,"us credability, tech",,,,,,
XOP,war go bad,,,,,,
XSW,tech,,,,,,
ZIM,war go bad,,,,,,
,,,,,,,
